x=1.461632144968362341262659542325721328468196204006446351295988408598786440353801810243074992733725592750556793365533053341617365778466985829177168381645, n=12, |dx| = 0.5
i,p_i,q_i
0,-2.3280775559761610604837956146184180860051765754037671556882816008e-155,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.6767224544762117042744476170965074041125721677716203869540230668e-1,2.2569396110402630701829378300222845284135486188984210975483198836e0
2,1.7412146522714199946995552156378390407446477073160249917553886273e0,2.1215558256032345092803838161287777058009055635241580962460876659e0
3,1.3121807161708320914097990084067924788645369621797784484206143041e0,1.1011068917594680516130284735029765212768907383757661216443495640e0
4,5.4563944240988746677444485189058209088994717071669493950577222568e-1,3.5109846690316868881763742357635472555277389048127965081996302583e-1
5,1.3845560366600523690549484399328391037085023203258553063748827279e-1,7.2140834271299917090175862437286305244577830312056355111773420373e-2
6,2.2330289537863992442502939598749250836129754738399780898635536690e-2,9.7124395679909313032872926449844000823668825015256026784133719569e-3
7,2.3065621093983078917013983314416533103236259930654609296589828426e-3,8.5155707166476201999560321329863872162165990452489664330546966595e-4
8,1.4968369083775741617935337163700658188295941906279149659390202179e-4,4.7234926758063500029802096096045512603139673433366675028463052517e-5
9,5.8042083070589920378433448648825694670943730756396258182381353644e-6,1.5624247466262540526562383682914178982635172492201550715434781488e-6
10,1.2190797686493313283981467135838229053562969244475960176291094317e-7,2.7616718422350525052836594265776194170677193568889444855556386031e-8
11,1.1396344450879021275060513827920796022820094240589088013490280021e-9,2.0970050123081838378716593610968422102960337592320015003663564582e-10
12,2.9102499919191969425540513822343169455405017209596116227968210159e-12,3.9100956410175965983239787468685968066217049312380016559898708154e-13
relative error = 7.5782954728e-34

